scienceRule,dtReceived,commentsUnique,commentsAll,docketsUnique,unq_per_dkts,all_per_dkts
0.0,2020-05-01,8,8,6,1.3333333333333333,1.3333333333333333
0.0,2020-05-02,3,3,2,1.5,1.5
0.0,2020-05-03,2,2,2,1.0,1.0
0.0,2020-05-04,8,8,5,1.6,1.6
0.0,2020-05-05,18,18,5,3.6,3.6
0.0,2020-05-06,35,35,4,8.75,8.75
0.0,2020-05-07,34,34,4,8.5,8.5
0.0,2020-05-08,69,69,7,9.857142857142858,9.857142857142858
0.0,2020-05-09,12,12,4,3.0,3.0
0.0,2020-05-10,9,9,3,3.0,3.0
0.0,2020-05-11,18,18,5,3.6,3.6
0.0,2020-05-12,10,10,2,5.0,5.0
0.0,2020-05-13,13,13,4,3.25,3.25
0.0,2020-05-14,15,27602,7,2.142857142857143,3943.1428571428573
0.0,2020-05-15,7,7,4,1.75,1.75
0.0,2020-05-16,3,3,2,1.5,1.5
0.0,2020-05-17,2,2,2,1.0,1.0
0.0,2020-05-18,17,17,7,2.4285714285714284,2.4285714285714284
0.0,2020-05-19,179,13274,6,29.833333333333332,2212.3333333333335
0.0,2020-05-20,83,83,9,9.222222222222221,9.222222222222221
0.0,2020-05-21,79,17651,7,11.285714285714286,2521.5714285714284
0.0,2020-05-22,70,70,7,10.0,10.0
0.0,2020-05-23,8,8,1,8.0,8.0
0.0,2020-05-24,2,2,1,2.0,2.0
0.0,2020-05-25,3,3,2,1.5,1.5
0.0,2020-05-26,10,10,5,2.0,2.0
0.0,2020-05-27,30,30,8,3.75,3.75
0.0,2020-05-28,16,16,4,4.0,4.0
0.0,2020-05-29,14,14,7,2.0,2.0
0.0,2020-05-30,2,2,2,1.0,1.0
0.0,2020-05-31,1,1,1,1.0,1.0
0.0,2020-06-01,7,7,4,1.75,1.75
0.0,2020-06-02,3,3,3,1.0,1.0
0.0,2020-06-03,13,13,7,1.8571428571428572,1.8571428571428572
0.0,2020-06-04,16,16,6,2.6666666666666665,2.6666666666666665
0.0,2020-06-05,11,11,4,2.75,2.75
0.0,2020-06-06,1,1,1,1.0,1.0
