receivedMonth,labelMonth,commentsUnique,commentsAll,docketsUnique,unq_per_dkts,all_per_dkts
1,Jan,759,126938,63,12.047619047619047,2014.888888888889
2,Feb,1475,78357,72,20.48611111111111,1088.2916666666667
3,Mar,3878,3953,50,77.56,79.06
4,Apr,1512,80992,55,27.490909090909092,1472.581818181818
5,May,9668,387747,53,182.41509433962264,7315.981132075472
6,Jun,710,30510,41,17.317073170731707,744.1463414634146
